X,Y,Z
-0.052684,-0.00243,0.019565
-0.057,0.000648,0.019083
-0.063864,0.002732,0.0176
-0.071318,0.003977,0.023712
-0.070482,0.004219,0.020408
-0.068096,0.003896,0.009877
-0.071886,0.003877,0.008847
-0.082692,0.003242,0.016175
-0.09133,0.002696,0.019509
-0.091704,0.003301,0.016888
-0.094642,0.001713,0.005794
-0.095238,-0.001947,-0.000818
-0.100895,-0.003964,0.003498
-0.113402,-0.000597,0.006746
-0.120474,0.000608,0.013054
-0.115435,0.002087,-0.007967
-0.125129,0.002631,-0.015786
-0.139123,0.000193,-0.014794
-0.131862,0.002951,-0.018252
-0.140205,-0.00007,-0.033874
-0.141765,-0.001889,-0.041658
-0.138416,-0.002494,-0.059129
-0.138636,-0.002061,-0.071471
-0.141143,-0.001184,-0.09073
-0.144077,-0.000437,-0.104132
-0.137845,0.002065,-0.122117
-0.133715,0.001824,-0.135118
-0.133552,0.004598,-0.158083
-0.133002,0.006346,-0.176377
-0.131035,-0.002122,-0.191321
-0.129058,0.000333,-0.212766
-0.110015,-0.002081,-0.233918
-0.114035,0.001344,-0.233059
-0.103951,-0.000221,-0.252761
-0.081967,-0.00331,-0.267208
-0.099543,-0.008365,-0.294042
-0.072625,-0.008518,-0.293946
-0.067202,-0.0095,-0.294159
-0.036647,-0.010419,-0.317104
-0.033954,-0.02018,-0.339042
-0.004816,-0.017489,-0.350298
0.027565,-0.013054,-0.35924
0.035562,-0.020992,-0.377648
0.056226,-0.010598,-0.376117
0.054717,-0.015074,-0.374698
0.078806,-0.018532,-0.379451
0.09803,-0.017563,-0.415068
0.174796,-0.02728,-0.415425
0.146311,-0.024811,-0.427785
0.216685,-0.030654,-0.380953
0.229353,-0.015836,-0.383545
0.256597,-0.021492,-0.365242
0.278526,-0.031761,-0.401434
0.300144,-0.030598,-0.411169
0.359344,-0.025475,-0.359326
0.356756,-0.039278,-0.357585
0.396622,-0.017461,-0.303923
0.414861,-0.030056,-0.33061
0.455135,-0.024679,-0.30356
0.464243,-0.02642,-0.234973
0.492143,-0.008008,-0.182069
0.504224,-0.027702,-0.177007
0.526921,-0.022161,-0.16047
0.539383,-0.018956,-0.13893
0.544048,-0.024783,-0.14235
0.556489,-0.021793,-0.110574
0.56785,-0.020467,-0.067565
0.578313,0.019267,-0.038351
0.600347,0.004523,-0.020389
0.59457,-0.041616,-0.00948
0.583615,-0.055468,0.039247
0.599949,-0.049847,0.00682
